id,Cover_Type
50001,1
50002,2
50003,3
50004,5
50005,2
50006,6
50007,5
50008,2
50009,5
50010,2
50011,2
50012,3
50013,4
50014,7
50015,1
50016,5
50017,3
50018,3
50019,1
50020,2
50021,7
50022,4
50023,1
50024,5
50025,6
50026,4
50027,6
50028,5
50029,1
50030,6
50031,4
50032,1
50033,7
50034,6
50035,7
50036,6
50037,1
50038,7
50039,2
50040,5
50041,4
50042,1
50043,6
50044,1
50045,3
50046,4
50047,1
50048,2
50049,5
50050,6
50051,2
50052,7
50053,5
50054,4
50055,2
50056,3
50057,2
50058,2
50059,5
50060,2
50061,7
50062,1
50063,1
50064,5
50065,2
50066,5
50067,7
50068,6
50069,1
50070,6
50071,6
50072,3
50073,1
50074,4
50075,7
50076,6
50077,2
50078,3
50079,7
50080,1
50081,7
50082,4
50083,3
50084,4
50085,6
50086,5
50087,2
50088,4
50089,2
50090,5
50091,4
50092,1
50093,4
50094,4
50095,2
50096,5
50097,4
50098,1
50099,5
50100,3
50101,3
50102,7
50103,2
50104,3
50105,6
50106,6
50107,7
50108,1
50109,3
50110,5
50111,3
50112,7
50113,5
50114,5
50115,1
50116,5
50117,5
50118,7
50119,1
50120,6
50121,4
50122,5
50123,7
50124,6
50125,7
50126,1
50127,7
50128,4
50129,6
50130,4
50131,3
50132,7
50133,6
50134,7
50135,7
50136,4
50137,5
50138,5
50139,4
50140,2
50141,6
50142,3
50143,7
50144,4
50145,4
50146,3
50147,1
50148,2
50149,5
50150,2
50151,1
50152,5
50153,4
50154,2
50155,2
50156,4
50157,2
50158,6
50159,5
50160,1
50161,6
50162,4
50163,5
50164,5
50165,7
50166,4
50167,1
50168,5
50169,1
50170,5
50171,6
50172,7
50173,6
50174,5
50175,4
50176,1
50177,7
50178,6
50179,5
50180,5
50181,1
50182,1
50183,5
50184,7
50185,3
50186,3
50187,1
50188,1
50189,1
50190,1
50191,6
50192,1
50193,7
50194,1
50195,3
50196,4
50197,6
50198,1
50199,6
50200,6
50201,4
50202,1
50203,6
50204,7
50205,4
50206,2
50207,5
50208,7
50209,1
50210,1
50211,4
50212,1
50213,4
50214,7
50215,2
50216,6
50217,3
50218,2
50219,3
50220,3
50221,4
50222,7
50223,1
50224,5
50225,6
50226,2
50227,5
50228,6
50229,2
50230,1
50231,7
50232,2
50233,4
50234,4
50235,3
50236,2
50237,7
50238,2
50239,6
50240,6
50241,1
50242,5
50243,2
50244,6
50245,6
50246,1
50247,2
50248,6
50249,2
50250,7
50251,1
50252,1
50253,2
50254,3
50255,7
50256,5
50257,4
50258,7
50259,7
50260,3
50261,4
50262,6
50263,6
50264,1
50265,1
50266,2
50267,2
50268,5
50269,3
50270,6
50271,5
50272,1
50273,2
50274,6
50275,2
50276,7
50277,2
50278,5
50279,6
50280,3
50281,5
50282,3
50283,5
50284,2
50285,3
50286,3
50287,6
50288,6
50289,7
50290,3
50291,2
50292,1
50293,2
50294,7
50295,2
50296,1
50297,2
50298,3
50299,5
50300,6
50301,4
50302,5
50303,3
50304,5
50305,1
50306,2
50307,1
50308,4
50309,4
50310,4
50311,2
50312,3
50313,1
50314,5
50315,5
50316,3
50317,2
50318,6
50319,2
50320,2
50321,3
50322,2
50323,7
50324,4
50325,3
50326,5
50327,4
50328,1
50329,2
50330,2
50331,1
50332,5
50333,4
50334,7
50335,7
50336,2
50337,4
50338,7
50339,1
50340,1
50341,3
50342,7
50343,3
50344,1
50345,4
50346,3
50347,7
50348,1
50349,2
50350,5
50351,5
50352,3
50353,6
