"","k","feat.err.OOB","feat.err.1","feat.err.2","feat.err.3","feat.err.4","feat.err.5","feat.err.6","feat.err.7"
"1",28,0.10264,0.123308104524612,0.0651051197592615,0.0898876404494382,0.29,0.461728395061728,0.243547319655857,0.128904031800114
"2",30,0.10196,0.122479421026463,0.0649424586230735,0.0859220092531395,0.285,0.461728395061728,0.238914626075447,0.131743327654742
"3",32,0.10114,0.121705983094857,0.0636411695335692,0.0885657633840053,0.285,0.464197530864198,0.236929185969557,0.13060760931289
"4",34,0.10096,0.121043036296337,0.0650237891911675,0.0885657633840053,0.285,0.446913580246914,0.230311052283256,0.126632595116411
"5",36,0.10208,0.12192696536103,0.0654711073156846,0.0888962326503635,0.285,0.460493827160494,0.238914626075447,0.128904031800114
"6",38,0.10198,0.122866139992266,0.0653491114635436,0.0859220092531395,0.295,0.448148148148148,0.234281932495036,0.131743327654742
"7",40,0.10186,0.122147947627203,0.0654304420316376,0.0892267019167217,0.285,0.450617283950617,0.235605559232296,0.127768313458262
"8",42,0.10156,0.122645157726092,0.0647797974868854,0.085261070720423,0.295,0.453086419753086,0.231634679020516,0.131175468483816
"9",44,0.10184,0.121705983094857,0.0660404212923427,0.08955717118308,0.26,0.446913580246914,0.234943745863666,0.127768313458262
"10",46,0.10236,0.122203193193746,0.0667723964051889,0.0869134170522141,0.28,0.451851851851852,0.234943745863666,0.127200454287337
"11",48,0.10208,0.120766808463621,0.0664064088487658,0.0915399867812293,0.27,0.458024691358025,0.239576439444077,0.12549687677456
"12",50,0.10254,0.122147947627203,0.067138383961612,0.0882352941176471,0.275,0.450617283950617,0.234281932495036,0.127200454287337
"13",52,0.10286,0.123308104524612,0.0662844129966248,0.0912095175148711,0.27,0.451851851851852,0.236929185969557,0.128904031800114
"14",54,0.10306,0.122645157726092,0.0681143507787402,0.0888962326503635,0.285,0.450617283950617,0.228987425545996,0.12549687677456
